SORA Publication Date,Compound SORA - 3 month
7.Jul.08,0.4919
8.Jul.08,0.4883
9.Jul.08,0.4855
10.Jul.08,0.4851
11.Jul.08,0.484
14.Jul.08,0.4803
15.Jul.08,0.4797
16.Jul.08,0.4789
17.Jul.08,0.4766
18.Jul.08,0.4775
21.Jul.08,0.4831
22.Jul.08,0.4847
23.Jul.08,0.4881
24.Jul.08,0.492
25.Jul.08,0.4921
28.Jul.08,0.4801
29.Jul.08,0.4711
30.Jul.08,0.462
31.Jul.08,0.4588
1.Aug.08,0.4498
4.Aug.08,0.4297
5.Aug.08,0.4237
6.Aug.08,0.4197
7.Aug.08,0.4172
8.Aug.08,0.4162
11.Aug.08,0.4087
12.Aug.08,0.4069
13.Aug.08,0.4054
14.Aug.08,0.4046
15.Aug.08,0.4048
18.Aug.08,0.4212
19.Aug.08,0.4241
20.Aug.08,0.426
21.Aug.08,0.4273
22.Aug.08,0.431
25.Aug.08,0.4286
26.Aug.08,0.4263
27.Aug.08,0.4247
28.Aug.08,0.4245
29.Aug.08,0.4262
1.Sep.08,0.4307
2.Sep.08,0.4302
3.Sep.08,0.4326
4.Sep.08,0.4367
5.Sep.08,0.4424
8.Sep.08,0.4581
9.Sep.08,0.4638
10.Sep.08,0.4692
11.Sep.08,0.4743
12.Sep.08,0.4813
15.Sep.08,0.5038
16.Sep.08,0.5115
17.Sep.08,0.5225
18.Sep.08,0.5361
19.Sep.08,0.5515
22.Sep.08,0.5866
23.Sep.08,0.5991
24.Sep.08,0.6133
25.Sep.08,0.6275
26.Sep.08,0.643
29.Sep.08,0.6818
30.Sep.08,0.6927
2.Oct.08,0.7137
3.Oct.08,0.7241
6.Oct.08,0.7377
7.Oct.08,0.7422
8.Oct.08,0.7451
9.Oct.08,0.7488
10.Oct.08,0.7506
13.Oct.08,0.7522
14.Oct.08,0.7546
15.Oct.08,0.7584
16.Oct.08,0.7611
17.Oct.08,0.7638
20.Oct.08,0.7657
21.Oct.08,0.7657
22.Oct.08,0.7644
23.Oct.08,0.7611
24.Oct.08,0.7574
28.Oct.08,0.7548
29.Oct.08,0.7568
30.Oct.08,0.7636
31.Oct.08,0.7688
3.Nov.08,0.7723
4.Nov.08,0.7714
5.Nov.08,0.7692
6.Nov.08,0.7668
7.Nov.08,0.7637
10.Nov.08,0.7516
11.Nov.08,0.7481
12.Nov.08,0.7473
13.Nov.08,0.7471
14.Nov.08,0.7481
17.Nov.08,0.7407
18.Nov.08,0.7353
19.Nov.08,0.7304
20.Nov.08,0.7272
21.Nov.08,0.7254
24.Nov.08,0.7186
25.Nov.08,0.7176
26.Nov.08,0.7169
27.Nov.08,0.7163
28.Nov.08,0.7149
1.Dec.08,0.7117
2.Dec.08,0.7113
3.Dec.08,0.7097
4.Dec.08,0.7065
5.Dec.08,0.7032
9.Dec.08,0.6888
10.Dec.08,0.6846
11.Dec.08,0.68
12.Dec.08,0.6725
15.Dec.08,0.6493
16.Dec.08,0.6407
17.Dec.08,0.6297
18.Dec.08,0.618
19.Dec.08,0.6042
22.Dec.08,0.5735
23.Dec.08,0.5627
24.Dec.08,0.5501
26.Dec.08,0.5244
29.Dec.08,0.4815
30.Dec.08,0.4683
31.Dec.08,0.4664
2.Jan.09,0.4392
5.Jan.09,0.4165
6.Jan.09,0.4099
7.Jan.09,0.4024
8.Jan.09,0.3968
9.Jan.09,0.3897
12.Jan.09,0.3768
13.Jan.09,0.373
14.Jan.09,0.3673
15.Jan.09,0.3608
16.Jan.09,0.3557
19.Jan.09,0.3462
20.Jan.09,0.3428
21.Jan.09,0.3397
22.Jan.09,0.338
23.Jan.09,0.3371
28.Jan.09,0.3283
29.Jan.09,0.3248
30.Jan.09,0.3175
2.Feb.09,0.3089
3.Feb.09,0.3059
4.Feb.09,0.3049
5.Feb.09,0.305
6.Feb.09,0.3057
9.Feb.09,0.305
10.Feb.09,0.3048
11.Feb.09,0.3034
12.Feb.09,0.2981
13.Feb.09,0.2915
16.Feb.09,0.2728
17.Feb.09,0.2674
18.Feb.09,0.2647
19.Feb.09,0.2641
20.Feb.09,0.2628
23.Feb.09,0.2568
24.Feb.09,0.255
25.Feb.09,0.2517
26.Feb.09,0.2478
27.Feb.09,0.2449
2.Mar.09,0.2298
3.Mar.09,0.2277
4.Mar.09,0.2259
5.Mar.09,0.2229
6.Mar.09,0.2192
9.Mar.09,0.2081
10.Mar.09,0.2042
11.Mar.09,0.2005
12.Mar.09,0.1986
13.Mar.09,0.1972
16.Mar.09,0.1983
17.Mar.09,0.2007
18.Mar.09,0.2045
19.Mar.09,0.2081
20.Mar.09,0.2097
23.Mar.09,0.2042
24.Mar.09,0.2016
25.Mar.09,0.1991
26.Mar.09,0.1973
27.Mar.09,0.1984
30.Mar.09,0.2023
31.Mar.09,0.2026
1.Apr.09,0.2047
2.Apr.09,0.2054
3.Apr.09,0.2049
6.Apr.09,0.2
7.Apr.09,0.1994
8.Apr.09,0.1989
9.Apr.09,0.1985
13.Apr.09,0.2001
14.Apr.09,0.2007
15.Apr.09,0.2015
16.Apr.09,0.2038
17.Apr.09,0.2078
20.Apr.09,0.2082
21.Apr.09,0.209
22.Apr.09,0.209
23.Apr.09,0.2088
24.Apr.09,0.2082
27.Apr.09,0.2063
28.Apr.09,0.2055
29.Apr.09,0.2045
30.Apr.09,0.2034
4.May.09,0.1974
5.May.09,0.1969
6.May.09,0.1959
7.May.09,0.1955
8.May.09,0.1953
11.May.09,0.1946
12.May.09,0.1942
13.May.09,0.1936
14.May.09,0.1925
15.May.09,0.1913
18.May.09,0.1867
19.May.09,0.1854
20.May.09,0.1848
21.May.09,0.1833
22.May.09,0.1831
25.May.09,0.179
26.May.09,0.1781
27.May.09,0.1764
28.May.09,0.1743
29.May.09,0.1729
1.Jun.09,0.1683
2.Jun.09,0.166
3.Jun.09,0.1641
4.Jun.09,0.1632
5.Jun.09,0.1655
8.Jun.09,0.1742
9.Jun.09,0.1743
10.Jun.09,0.1747
11.Jun.09,0.1754
12.Jun.09,0.1753
15.Jun.09,0.1694
16.Jun.09,0.1669
17.Jun.09,0.1627
18.Jun.09,0.1571
19.Jun.09,0.1511
22.Jun.09,0.1405
23.Jun.09,0.1387
24.Jun.09,0.1375
25.Jun.09,0.1369
26.Jun.09,0.1354
29.Jun.09,0.1276
30.Jun.09,0.1269
1.Jul.09,0.1232
2.Jul.09,0.121
3.Jul.09,0.1199
6.Jul.09,0.1202
7.Jul.09,0.1206
8.Jul.09,0.1211
9.Jul.09,0.1217
10.Jul.09,0.1214
13.Jul.09,0.1205
14.Jul.09,0.1202
15.Jul.09,0.1191
16.Jul.09,0.1164
17.Jul.09,0.1123
20.Jul.09,0.1116
21.Jul.09,0.1116
22.Jul.09,0.1121
23.Jul.09,0.1127
24.Jul.09,0.1131
27.Jul.09,0.1158
28.Jul.09,0.1171
29.Jul.09,0.119
30.Jul.09,0.121
31.Jul.09,0.1224
3.Aug.09,0.135
4.Aug.09,0.1397
5.Aug.09,0.1441
6.Aug.09,0.1475
7.Aug.09,0.1511
11.Aug.09,0.1627
12.Aug.09,0.1662
13.Aug.09,0.1673
14.Aug.09,0.1683
17.Aug.09,0.1718
18.Aug.09,0.1727
19.Aug.09,0.1732
20.Aug.09,0.1731
21.Aug.09,0.1735
24.Aug.09,0.1731
25.Aug.09,0.1736
26.Aug.09,0.1748
27.Aug.09,0.1765
28.Aug.09,0.1789
31.Aug.09,0.188
1.Sep.09,0.1919
2.Sep.09,0.194
3.Sep.09,0.1969
4.Sep.09,0.1991
7.Sep.09,0.1944
8.Sep.09,0.1914
9.Sep.09,0.1915
10.Sep.09,0.191
11.Sep.09,0.1909
14.Sep.09,0.1931
15.Sep.09,0.1934
16.Sep.09,0.194
17.Sep.09,0.1947
18.Sep.09,0.1952
22.Sep.09,0.1989
23.Sep.09,0.2
24.Sep.09,0.2023
25.Sep.09,0.2042
28.Sep.09,0.2069
29.Sep.09,0.2074
30.Sep.09,0.2063
1.Oct.09,0.2064
2.Oct.09,0.2086
5.Oct.09,0.2138
6.Oct.09,0.2144
7.Oct.09,0.2157
8.Oct.09,0.2197
9.Oct.09,0.2216
12.Oct.09,0.2292
13.Oct.09,0.2315
14.Oct.09,0.2332
15.Oct.09,0.235
16.Oct.09,0.2369
19.Oct.09,0.2429
20.Oct.09,0.2447
21.Oct.09,0.2465
22.Oct.09,0.248
23.Oct.09,0.2498
26.Oct.09,0.2538
27.Oct.09,0.2549
28.Oct.09,0.2557
29.Oct.09,0.2561
30.Oct.09,0.2565
2.Nov.09,0.2574
3.Nov.09,0.2578
4.Nov.09,0.2564
5.Nov.09,0.254
6.Nov.09,0.2533
9.Nov.09,0.252
10.Nov.09,0.251
11.Nov.09,0.25
12.Nov.09,0.2487
13.Nov.09,0.2498
16.Nov.09,0.2507
17.Nov.09,0.2506
18.Nov.09,0.2499
19.Nov.09,0.2489
20.Nov.09,0.2492
23.Nov.09,0.2525
24.Nov.09,0.2534
25.Nov.09,0.2541
26.Nov.09,0.2572
30.Nov.09,0.2574
1.Dec.09,0.2541
2.Dec.09,0.2533
3.Dec.09,0.2511
4.Dec.09,0.2498
7.Dec.09,0.2487
8.Dec.09,0.249
9.Dec.09,0.2489
10.Dec.09,0.2495
11.Dec.09,0.2492
14.Dec.09,0.2463
15.Dec.09,0.246
16.Dec.09,0.2452
17.Dec.09,0.2442
18.Dec.09,0.2438
21.Dec.09,0.2413
22.Dec.09,0.2406
23.Dec.09,0.2391
24.Dec.09,0.2364
28.Dec.09,0.2279
29.Dec.09,0.2256
30.Dec.09,0.2225
31.Dec.09,0.2204
4.Jan.10,0.2149
5.Jan.10,0.2138
